[2024-12-02 11:24:47.975] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 11:24:47.976] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.20c27321-d8b9-4b8f-8ebb-b4677a3659bf.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 11:25:47.965] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 11:25:47.965] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 11:25:47.965] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.d8a4f7c8-e232-47e3-bc07-2295df88a294.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 11:26:47.978] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 11:26:47.979] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 11:26:47.979] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.e64f6d33-d919-4558-b2fd-f9ca424aa7d2.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 11:27:47.977] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 11:27:47.977] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
